# BEARINGS

## FROM EA1/AV-009 - Pico Moros (2060 msnm) [10 pts]
SUMMIT REF	FORWARD	BACK	FREQUENCY	DISTANCE & ACTIVATOR(S)
EA1/AV-009	180.0	0.0	Pico Moros 2062m MHz	0.0 km  EA4HIH
EA1/BU-004	45.55	-133.0	Campiña 2049m MHz	255.86 km  EA2EUS
EA1/BU-016	24.99	-153.87	Picón Blanco (1.520 m) MHz	330.47 km  EA1FOV/p
EA1/BU-030	38.27	-140.57	Muela 1375 MHz	234.52 km  EB1ESK
EA1/LE-023	-2.28	177.62	Agujas, 2143 m. MHz	288.06 km  EA1AER
EA1/LE-120	-8.63	171.04	Amargones - 1897m MHz	270.44 km  EA1FLU
EA1/SG-001	67.47	-111.68	Peñalara 2428m MHz	119.11 km  EA4IFC, EA4IIJ
EA1/SG-005	69.9	-109.3	Siete Picos 2137 m MHz	110.42 km  EA9ADD
EA1/SG-017	73.48	-105.8	Cabeza Líjar (1822 m) MHz	97.02 km  EA4IZ
EA1/SO-007	50.73	-127.42	Cabezo de Piqueras, 1930 m MHz	300.33 km  EA2BD
EA1/SO-009	53.16	-124.88	ALTO DEL HAYEDO, 1719 m. MHz	307.73 km  EA2DNO, EA2DCA
EA2/NV-021	45.62	-131.91	Saioa 1417m MHz	422.01 km  EA2FDI
EA2/VI-006	39.94	-138.41	TOLOÑO 1269 MHz	319.1 km  EA2CON
EA3/BC-004	69.43	-105.95	Gallina Pelada, 2320m MHz	616.94 km  EA3AJ
EA3/GI-011	68.48	-106.79	Tossa d’Alp - 2.536 m MHz	633.28 km  EA3IKB
EA3/GI-016	74.24	-100.73	Matagalls 1697m MHz	659.19 km  EA3HIG
EA3/LL-050	68.72	-107.3	Castell de Sant Alis 1675 m. MHz	535.2 km  EA3HQR, EA3IED
EA3/TA-036	77.72	-97.9	Roca Ferrana (789 m) MHz	573.27 km  EA3GRW
EA4/GU-002	61.9	-116.94	Cerrón 2.196 metros MHz	170.01 km  EA4HGT
