SOTA_reference;frequency;call_sign(s)
CT/MN-003;144.775;CT2IQK/P
EA1/AT-281;144.750;EA2GM
EA1/AV-008;144.725;EA4GUO
EA1/BU-035;144.625;EA4RG
EA1/BU-040;144.575;EB1ESK
EA1/CT-004;144.550;EA2BX
EA1/LE-023;144.525;EA1AER
EA1/SG-005;145.375;EA4GVU
EA1/SG-008;145.350;EA4HGT
EA1/SG-016;145.325;EA4HFO
EA1/SO-002;145.300;EA2EUS
EA1/SO-005;145.275;EA2BD
EA1/SO-009;145.250;EA2DCA/P, EA2DNO
EA2/BI-014;145.225;EA2TP
EA2/BI-027;145.200;EA2RCA, EB2CGF, EB2DPT, EA2EJO, EA2CLE, EA2EN
EA2/HU-064;145.550;EA3GNU/P
EA2/NV-053;145.525;EA2EVJ
EA2/NV-136;145.475;EA2FDI
EA2/SS-001;145.450;EA2CSC
EA2/SS-013;145.425;EB2FDT
EA2/SS-060;145.400;EA2FBN
EA2/ZG-001;144.775;EA4HIH, EA4HCF
EA3/GI-002;144.750;EA3IKB
EA3/GI-102;144.725;EA3CX
EA3/TA-003;144.625;EA3GRW
EA4/CU-046;144.575;EA4DE
EA4/GU-001;144.550;EA2EYI, EA4ICF
EA4/GU-050;144.525;EA4IZ
EA4/MD-002;145.375;EA4GDK
EA4/TO-054;145.350;EA4IS
EA5/AB-017;145.325;EA5PY
EA5/AT-043;145.300;EA5IYL
EA6/MA-007;145.275;EA6EE
EA6/MA-040;145.250;EA6AOJ
EA7/AL-003;145.225;EC7ZT/P
EA7/GR-002;145.200;EA7GV, EA7KNC
EA7/GR-009;145.550;EA4DON
