ACTIVADOR;CIMA;FRECUENCIA
EA1FTW;EA1/OU-001;Peña Trevinca 2125m;EA1/OU Ourense
EA1FNT;EA1/AT-186;Gallos de la Cuerva 844m;
EA1AER EA1FLU EA1FWI;EA1/ZA-002;Vizcodillo;EA1/ZA Zamora
EB2FDT;EA1/BU-002;Trigaza 2086m;EA1/BU Burgos
EB1ESK;EA1/BU-004;Campiña  2049m;EA1/BU Burgos
EA1FWZ;EA1/BU-007;Mencilla 1932m;EA1/BU Burgos
EA2CON;EA1/BU-096;Arreduy 1043 m;EA1/BU Burgos
EA2ETB;EA1/SO-003;Peña Negrilla 2114m;;FM
EA7RX;EA1/SO-026;Ministra 1311m;EA1/SO Soria
EA4DON EA4DOS;EA1/SG-001;Peñalara  2482m;EA1/SG Segovia
EA4IPO;EA1/SG-003;Nevero;;FM
EA9ADD;EA1/SG-005;Siete Picos - 2137 m;EA1/SG Segovia
EA4HCF EA4HIH;EA1/SG-010;Majada Pielera;;FM SSB
EA4HFO EA4GVU;EA1/SG-017;Cabeza Líjar 1822 m;EA1/SG Segovia
EA2FHK;EA1/CT-036;Jano 1445m;;FM
EA2DCA;EA2/BI-009;Oiz 1029m;EA2/BI Bizcaia
EA2DXY;EA2/VI-016;Ipizte 1059m;EA2/VI Vitoria;
EA2EUS;EA2/NV-003;Ori 2019m;;FM
EA2BD;EA2/NV-032;Artxueta 1343m;EA2/NV Navarra
EA2FDI;EA2/NV-035;Autza 1304m;EA2/NV Navarra
EA2CCG;EA2/NV-148;Ezkintza ;EA2/NV Navarra
EA4BQG;EA2/HU-093;Cervin 1682m;
EA2FED EA2FEG;EA2/ZG-001;Moncayo 2315m;;FM
EA3JHJ;EA3/LL-041;Pedró dels Quatre Batlles;EA3/LL Lleida
EA3HIG;EA3/LL-050;Castell de Sant Alis 1675m;EA3/LL Lleida
EA3IXK;EA3/LL-051;Tossal de Mirapallars 1678m;EA3/LL Lleida;FM
EA3O/P;EA3/GI-014;Taga 2039m;EA3/GI Girona;FM
EA3GRW;EA3/BC-006;El Pedró  - 2080m;EA3/BC Barcelona
EA3HQR EA3IQK;EA3/TA-012;Mont Caro 1440 m;;FM SSB
EA4NB;EA4/MD-002; Cabezas de Hierro 2380m.;EA4/MD Madrid
EA4IIJ  EA4GGU;EA4/MD-025;Cancho de la Cabeza;;FM
EA4HNZ;EA4/MD-052;Cerró del Castillo;;FM
EA4GUO;EA4/MD-054;Peña Negra 1835m;;FM
EA4HGT;EA4/GU-002;Cerrón 2196m;EA4/GU Guadalajara;FM SSB
EA4WT;EA4/GU-xxx;;;FM SSB
EA4AWF;EA4/GU-050;Ermita Alto Rey 1851m;;FM SSB
EA5PY;EA5/MU-021;Almeces 1121m;;FM SSB
EA5ITW;EA5/AT-010;PENYA MIGJORN 1226m;EA5/AT Alicante;FM SSB
EA5JTS;EA5/AT-017;"Bernia; 1126m";;FM SSB
EA5JYX;EA5/AT-020;Cocoll - 1046m;;FM SSB
EA6EE EA6APL EA6LU;EA6/MA-077;Talaia d'Albercutx 380m;EA6/MA Mallorca;
EA7OM EA7JV;EA7/JA-010;Pandera;EA7/JA Jaen;FM SSB
EC7ZT/P;EA7/MA-018;La Concha;EA7/MA Malaga;FM
EA7KUG EA7KNC EA7GV?;EA7/GR-002;Veleta 3395m;EA7/GR Granada;FM SSB
