FRECUENCIA;ACTIVADOR;Region;CIMA;;Acompaña
145,475;EA1AER;EA1/LE Leon;EA1/LE-023;Peña Agujas, 2143 m;
145,525;EA2GM;EA1/AT Asturias;EA1/AT-281;Mofrecho 899 m;
145,425;EA2EXN;EA1/PL Palencia;EA1/PL-006;Cuchillon 2173 m;
145,550;EA1FOV;EA1/PL Palencia;EA1/PL-017;Valcavado 1223 m;
144,575;EB1ESK;EA1/BU Burgos;EA1/BU-040;Peñalara 1295;
144,775;EB2FDT;EA2/SS Gipuzkoa;EA2/SS-013;Samiño 932 m;
144,725;EA2EVJ;EA2/SS Gipuzkoa;EA2/SS-008;Gazume 1003 m;
144,700;EA2FDI;EA2/NV Navarra;EA2/NV-136;Bianditz 843 m;
145,450;EA2CCG;EA2/NV Navarra;EA2/NV-148;Eskintza 738 m;
144,675;EA3GNU;EA2/HU Huesca;EA2/HU-064;El Turbón 2491 m;
144,525;EA3EBN;EA2/HU Huesca;EA2/HU-252;San Quilez 1085 m;
145,225;EA4HIH;EA2/ZG Zaragoza;EA2/ZG-001;Moncayo 2314 m;EA4HCF
145,225;EA4HCF;EA2/ZG Zaragoza;EA2/ZG-001;Moncayo 2314 m;EA4HCF
145,250;EA3GRW;EA3/TA Tarragona;EA3/TA-003;Tossal de la Baltasana 1200 m;
145,250;CT2HOV/P;CT;CT/DL-001;;
14?,???;CT2IWW/P;CT;CT/BA-001;;
14?,???;EA4ICF;EA;EA4/MD-053;;
144,550;EA3IKB;EA3/GI Girona;EA3/GI-002;Puigmal 2909 m;
144,625;EA3O;EA3/GI Girona;EA3/GI-014;Taga 2039 m;
145,525;EA3IED;EA3/LL Lleida;EA3/LL-050;Castell de Sant Alis 1675 m;EA3HQR
145,525;EA3HQR;EA3/LL Lleida;EA3/LL-050;Castell de Sant Alis 1675 m;EA3HQR
145,475;EA4DE;EA4/CU Cuenca;EA4/CU-046;San Cristobal 1066 m;
145,350;EA4IZ;EA4/GU Guadalajara;EA4/GU-050;Ermita de Alto Rey 1851 m;
145,350;EA4IEM;EA4/GU Guadalajara;EA4/GU-050;Ermita de Alto Rey 1851 m;
145,325;EA4GDK;EA4/MD Madrid;EA4/MD-002;Cabezas de Hierro 2380 m;
145,300;EA4DON;EA4/MD Madrid;EA4/MD-012;Tres Provincias 2177 m;EA4DOS
145,300;EA4DOS;EA4/MD Madrid;EA4/MD-012;Tres Provincias 2177 m;EA4DOS
145,500;EA9ADD;EA4/MD Madrid;EA4/MD-032;Cabeza Anton 1401 m;
145,275;EA7RX;EA4/MD Madrid;EA4/MD-044;Torrejón 1293 m;
144,700;EA4GVU;EA1/SG Segovia;EA1/SG-005;Siete Picos, 2137 m;
144,725;EA4HFO;EA1/SG Segovia;EA1/SG-016;Montón de Trigo 2157 m;
145,400;EA4IS;EA4/TO Toledo;EA4/TO-054;Noez 1034m;
144,775;EA4HGT;EA1/AV Avila;EA1/AV-004;Serrota 2290 m;
144,675;EA4GUO;EA1/AV Avila;EA1/AV-008;Pico Zapatero 2157 m;
145,550;EA5PY;EA5/AB Albacete;EA5/AB-017;Peña Moratalla 1974 m;
145,450;EA7GV;EA7/GR Granada;EA7/GR-002;Veleta 3399 m;EA7KNC
145,450;EA7KNC;EA7/GR Granada;EA7/GR-002;Veleta 3399 m;EA7KNC
