# BEARINGS

## FROM EA1/AT-186 - Los Gayos de la Cuerva (844 msnm) [4 pts] grid: IN63uk
SUMMIT REF	FORWARD	BACK	FREQUENCY	DISTANCE & ACTIVATOR(S)
EA1/AT-186	180.0	0.0	144.575 MHz	0.0 km  EA1FNT
EA1/BU-002	116.11	-61.79	145.475 MHz	284.17 km  EB2FDT
EA1/BU-004	118.59	-59.18	145.425 MHz	308.77 km  EB1ESK
EA1/BU-007	117.95	-60.0	145.325 MHz	282.17 km  EA1FWZ
EA1/BU-096	102.07	-75.38	144.620 MHz	311.83 km  EA2CON
EA1/CT-036	103.55	-75.33	144.560 MHz	136.45 km  EA2FHK
EA1/LR-004	114.93	-62.8	Cumbre en duda MHz	304.74 km  EA4IS
EA1/OU-001	-163.56	16.13	145.225,144.225 MHz	135.93 km  EA1FTW
EA1/PO-022	-117.59	60.8	145.350 MHz	219.21 km  EA1FMJ
EA1/SG-001	144.66	-33.75	145.300 MHz	346.11 km  EA4DON EA4DOS
EA1/SG-003	142.01	-36.32	144.540 MHz	339.56 km  EA4IPO
EA1/SG-005	146.23	-32.23	145.275,144.275 MHz	348.97 km  EA9ADD
EA1/SG-010	147.5	-31.04	145.325,144 MHz	342.98 km  EA4HCF EA4HOH EA1FMQ
EA1/SG-017	148.61	-29.94	144.660 MHz	352.14 km  EA4HFO EA4GVU
EA1/SO-003	114.71	-62.27	145.500 MHz	408.88 km  EA2ETB
EA1/SO-026	127.53	-49.89	144.640 MHz	407.12 km  EA7RX
EA1/ZA-002	-173.88	6.0	145.250,144.250 MHz	136.58 km  EA1AER EA1FLU EA1FWI
EA2/BI-009	92.68	-84.75	144.700 MHz	303.95 km  EA2DCA
EA2/HU-093	98.87	-76.53	144.760 MHz	562.38 km  EA4BQG
EA2/NV-003	94.47	-81.89	145.400 MHz	435.25 km  EA2EUS
EA2/NV-032	96.77	-80.24	144.680 MHz	358.6 km  EA2BD
EA2/NV-035	92.55	-84.08	144.720 MHz	399.52 km  EA2FDI
EA2/NV-148	101.79	-75.2	144.575 MHz	369.25 km  EA2CCG
EA2/VI-016	95.81	-81.63	144.580 MHz	305.97 km  EA2DXY
EA2/ZG-001	114.63	-62.33	145.450 MHz	410.48 km  EA2FED EA2FEG
EA3/BC-006	99.22	-75.26	145.350,144.350 MHz	678.05 km  EA3GRW
EA3/GI-014	97.32	-76.86	144.780 MHz	709.03 km  EA3O
EA3/LL-041	99.34	-75.32	144.775 MHz	656.38 km  EA3JHJ
EA3/LL-050	102.32	-72.86	144.700 MHz	600.78 km  EA3HIG
EA3/LL-051	102.1	-72.96	145.250 MHz	614.96 km  EA3IXK
EA3/TA-012	115.48	-60.05	144.680 MHz	623.38 km  EA3HQR EA3IQK
EA4/GU-002	135.89	-42.18	145.550,144.550 MHz	344.45 km  EA4HGT
EA4/GU-014	134.31	-43.72	145.400 MHz	343.9 km  EA4HIH
EA4/GU-050	131.73	-46.06	144.740 MHz	367.76 km  EA4AWF
EA4/GU-062	127.75	-49.53	144.720 MHz	429.45 km  EA4WT
EA4/MD-002	144.9	-33.49	145.525,144.525 MHz	351.86 km  EA4NB
EA4/MD-025	138.97	-39.12	145.225 MHz	365.82 km  EA4IIJ EA4GGU
EA4/MD-052	146.8	-31.65	144.520 MHz	357.02 km  EA4HNZ
EA4/MD-054	141.18	-37.04	144.560 MHz	356.3 km  EA4GUO
EA5/AT-010	136.12	-40.08	144.640 MHz	728.58 km  EA5ITW
EA5/AT-017	132.91	-42.96	144.620 MHz	745.92 km  EA5JTS
EA5/AT-020	132.95	-42.98	144.660 MHz	734.42 km  EA5JYX
EA5/MU-021	143.11	-33.67	144.780 MHz	717.94 km  EA5PY
EA6/MA-077	113.02	-60.69	145.225,144.225 MHz	876.19 km  EA6EE EA6APL EA6LU
