SOTA_reference;frequency;call_sign(s)
EA1/BU-002;;EB2FDT
EA1/BU-004;;EB1ESK
EA1/BU-007;;EA1FWZ
EA1/BU-096;;EA2CON
EA1/OU-001;;EA1FTW
EA1/SG-001;;EA4DON/P
EA1/SG-005;;EA9ADD
EA1/SG-017;;EA4HFO
EA1/SO-026;;EA7RX
EA1/ZA-002;;EA1AER
EA2/BI-009;;EA2DCA
EA2/NV-032;;EA2BD
EA2/NV-035;;EA2FDI
EA3/BC-006;;EA3GRW
EA3/GI-014;;EA3O/P
EA3/LL-041;;EA3JHJ
EA3/LL-050;;EA3HIG, EA3IXK
EA4/MD-002;;EA4NB
EA4/MD-012;;EA4HCF
EA5/AT-017;;EA5JTS
EA5/AT-020;;EA5JYX
EA7/AL-001;;EA7KUG
EA7/JA-013;;EA7OM
EA7/MA-018;;EC7ZT/P
